starting training
2024-06-01 00:05:09.444755: I external/local_xla/xla/service/service.cc:168] XLA service 0x7f8dc0d3e9d0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-06-01 00:05:09.445001: I external/local_xla/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA RTX A4000, Compute Capability 8.6
2024-06-01 00:05:09.468620: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:269] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1717200309.632330     297 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Episode: 142/20000, steps: 50[7100], Total reward: -6.523954534530637[-1.0], time: 8.1s[21.4m], e: 0.9451503316693239
Episode: 143/20000, steps: 50[7150], Total reward: -1.2982561349868782[-0.9], time: 8.1s[21.5m], e: 0.9447722715366562
Episode: 144/20000, steps: 50[7200], Total reward: -2.045338439941405[-0.9], time: 8.2s[21.7m], e: 0.9443943626280416
Episode: 145/20000, steps: 50[7250], Total reward: -3.027404999732972[-1.1], time: 7.9s[21.8m], e: 0.9440166048829903
Episode: 146/20000, steps: 50[7300], Total reward: 1.6880521297454827[-0.7], time: 8.4s[21.9m], e: 0.9436389982410371
Episode: 147/20000, steps: 50[7350], Total reward: -8.991505503654478[-0.8], time: 11.0s[22.1m], e: 0.9432615426417408
Episode: 148/20000, steps: 50[7400], Total reward: 0.16203556060790988[-0.9], time: 7.5s[22.2m], e: 0.9428842380246841
Episode: 149/20000, steps: 50[7450], Total reward: -0.5539442777633661[-0.9], time: 8.8s[22.4m], e: 0.9425070843294743
Episode: 150/20000, steps: 50[7500], Total reward: 3.41045355796814[-0.8], time: 8.7s[22.5m], e: 0.9421300814957425
Episode: 151/20000, steps: 50[7550], Total reward: -3.3233179330825804[-1.0], time: 10.0s[22.7m], e: 0.9417532294631442
Episode: 152/20000, steps: 50[7600], Total reward: -2.7808319568634032[-1.0], time: 9.6s[22.9m], e: 0.941376528171359
Episode: 153/20000, steps: 50[7650], Total reward: 2.1916674375534058[-0.9], time: 8.8s[23.0m], e: 0.9409999775600905
Episode: 154/20000, steps: 50[7700], Total reward: 2.1850590467453[-0.8], time: 8.5s[23.1m], e: 0.9406235775690664
Episode: 155/20000, steps: 50[7750], Total reward: -2.7274817287921915[-0.8], time: 8.7s[23.3m], e: 0.9402473281380389
Episode: 156/20000, steps: 50[7800], Total reward: 1.065883404016494[-0.8], time: 9.4s[23.4m], e: 0.9398712292067838
